,brand
BMW,20888
Audi,20575
Ford,19018
Skoda,14266
Renault,13311
Peugeot,11818
Volvo,10465
Kia,9882
Hyundai,9479
Citroën,8750
Nissan,7033
Mazda,5755
Seat,5607
Fiat,5401
Honda,4418
Volkswagen,4292
Mercedes-Benz,3587
Suzuki,3391
Jeep,3266
Opel,2920
Dacia,2890
MINI,2525
Mitsubishi,2500
Toyota,2170
Land Rover,2088
Lexus,2036
Chevrolet,1962
Alfa Romeo,1913
Dodge,1711
Jaguar,1393
Subaru,1245
Chrysler,993
SsangYong,571
Porsche,507
Tesla,486
Maserati,424
Infiniti,399
DS Automobiles,394
Saab,353
Cupra,317
Smart,316
RAM,259
Lancia,229
Isuzu,159
Cadillac,155
MG,153
Aixam,143
Bentley,136
Daihatsu,115
Ferrari,100
Inny,95
Microcar,82
Daewoo,81
Abarth,79
Ligier,75
Aston Martin,73
Polonez,67
Lincoln,60
Lamborghini,53
Hummer,50
Rover,46
Lada,40
GMC,39
Rolls-Royce,38
McLaren,32
Buick,29
Iveco,26
Baic,21
Acura,18
Pontiac,17
Lotus,12
Chatenet,12
Triumph,11
Syrena,11
DFSK,10
Warszawa,10
Uaz,9
Austin,8
Maybach,8
Oldsmobile,8
Żuk,7
Wartburg,7
Alpine,7
BMW-ALPINA,6
Casalini,5
Trabant,5
Tata,5
Nysa,4
DKW,4
VELEX,4
Wołga,4
Plymouth,3
Ineos,3
MAN,3
Gaz,3
Mercury,2
e.GO,2
Tarpan,2
Omoda,2
Brilliance,1
Jetour,1
Skywell,1
BYD,1
